datetime,portfolio_value,cash,price
2024-05-13,192789.54943186708,123964.47946240222,61527.01
2024-05-14,194352.8817762558,123964.47946240222,62924.57
2024-05-16,197901.21713438118,130285.89016607798,66258.01
2024-05-20,197745.3117894301,109128.48310191795,66274.78
2024-05-21,204560.55591686352,204560.55591686352,71483.45
2024-05-25,204560.55591686352,204560.55591686352,68575.92
2024-05-27,204560.55591686352,204560.55591686352,68508.69
2024-05-29,204560.55591686352,204560.55591686352,68425.09
2024-05-30,204560.55591686352,204560.55591686352,67652.69
2024-06-01,204560.55591686352,204560.55591686352,67573.41
2024-06-02,204560.55591686352,204560.55591686352,67768.0
2024-06-03,204560.55591686352,204560.55591686352,67763.86
2024-06-04,204560.55591686352,204560.55591686352,68800.01
2024-06-05,204560.55591686352,204560.55591686352,70589.99
2024-06-06,204560.55591686352,204560.55591686352,71149.57
2024-06-07,204560.55591686352,204560.55591686352,70791.22
2024-06-08,204560.55591686352,204560.55591686352,69312.39
2024-06-09,204560.55591686352,204560.55591686352,69310.36
2024-06-10,204560.55591686352,204560.55591686352,69655.1
2024-06-11,204560.55591686352,204560.55591686352,69526.02
2024-06-12,204560.55591686352,204560.55591686352,67312.18
2024-06-13,204560.55591686352,204560.55591686352,68290.0
2024-06-14,204560.55591686352,204560.55591686352,66792.0
2024-06-15,204560.55591686352,204560.55591686352,66068.0
2024-06-16,204560.55591686352,204560.55591686352,66200.01
2024-06-17,204560.55591686352,204560.55591686352,66655.0
2024-06-18,204560.55591686352,204560.55591686352,66540.55
2024-06-19,204560.55591686352,204560.55591686352,65151.01
2024-06-20,204560.55591686352,204560.55591686352,64927.64
2024-06-21,204560.55591686352,204560.55591686352,64869.98
2024-06-22,204560.55591686352,204560.55591686352,64158.28
2024-06-23,204560.55591686352,204560.55591686352,64280.73
2024-06-24,204560.55591686352,204560.55591686352,63258.31
2024-06-25,204560.55591686352,204560.55591686352,60267.73
2024-06-26,204560.55591686352,204560.55591686352,61835.04
2024-06-27,204560.55591686352,204560.55591686352,60840.64
2024-06-28,204560.55591686352,204560.55591686352,61716.07
2024-06-29,204560.55591686352,204560.55591686352,60438.01
2024-06-30,204560.55591686352,204560.55591686352,60989.79
2024-07-01,204560.55591686352,204560.55591686352,62776.01
2024-07-02,204560.55591686352,204560.55591686352,62931.45
2024-07-03,204560.55591686352,204560.55591686352,62149.95
2024-07-04,204560.55591686352,204560.55591686352,60250.0
2024-07-05,204649.17113718676,104075.47762571012,57186.01
2024-07-06,203451.78645238592,150080.66723579072,56613.23
2024-07-07,204754.29681102323,124819.7027107245,58210.08
2024-07-08,201603.20830992487,124819.7027107245,55915.39
2024-07-09,202476.71839210257,136931.33453077928,56684.01
2024-07-10,204000.76046197774,136931.33453077928,58002.01
2024-07-11,203434.77418096265,132914.44109806532,57666.66
2024-07-12,202902.52817267604,134395.0982912295,57380.0
2024-07-13,203335.86599580452,133101.5240381041,57889.11
2024-07-14,204957.8565467014,133101.5240381041,59226.0
2024-07-15,206646.11588483682,135885.80482718762,60784.01
2024-07-16,211244.4294261913,135885.80482718762,64734.02
2024-07-17,211302.7992842605,118507.61296604466,65009.23
2024-07-18,209840.1167491658,130322.5171336779,64148.0
2024-07-19,209434.31295812406,121004.12620223165,64011.1
2024-07-20,213001.63121149788,213001.63121149788,66730.0
2024-07-21,213001.63121149788,213001.63121149788,67186.12
2024-07-22,213001.63121149788,213001.63121149788,68226.79
2024-07-23,213001.63121149788,213001.63121149788,67548.01
2024-07-24,213001.63121149788,213001.63121149788,65920.01
